lib,title,target
해공,해공도서관 커뮤니티 <한 작가 깊이 읽기> 추가 모집,대상 : 성인
성내,"[그림책 특화] 성내도서관 <그림책, 작가와 만나다> 3월 강연",대상 : 성인
성내,그림책으로 떠나는 감정여행 (3/8 두려움),대상 : 초등 1~2학년
둔촌,[모집] 둔촌도서관 커뮤니티 모집 안내 <책과 함께 이야기하기>,대상 : 성인
강일,강일도서관 「아동학습능력 레벨업 : 협동심 강화 프로그램」 ,대상 : 초등 1학년
강일,강일도서관 「아동학습능력 레벨업 : 사회성 강화 프로그램」  ,대상 : 초등 1학년
성내,창업 스타트 UP 특강,대상 : 성인
성내,성내 1:1 창업 상담 [3월],대상 : 성인
강일,강일도서관 「아동학습능력 레벨업」  예비 초등 학부모 특강,대상 : 학부모
성내,그림책으로 떠나는 감정여행 (3/3 행복),대상 : 초등3~4학년
천호,[모집] 슬기로운 학교생활 part 1. 선생님과 함께하는 슬기로운 입학생활,대상 : 양육자 20명
성내,그림책으로 떠나는 감정여행 (2/22 실망),대상 : 초등1~3학년
성내,성내도서관 커뮤니티 모집 안내 <우리가 만드는 시모임>,대상 : 성인
성내,그림책으로 떠나는 감정여행(2/17 두려움),대상 : 7세-9세
성내,그림책으로 떠나는 감정여행 (2/15 세상의 중심 '나'),대상 : 초등 1~3학년
성내,그림책으로 떠나는 감정여행 (2/10 아름다운 실수),대상 : 초등 1~3학년
성내,그림책으로 떠나는 감정여행 (2/8 사랑),대상 : 초등 1~2학년
성내,그림책으로 떠나는 감정여행 <1/27(목) 용기>,대상 : 초등 1-2학년 (22년 기준)
성내,그림책으로 떠나는 감정여행 <1/25(화) 두려움>,대상 : 초등 3~4학년
성내,그림책으로 떠나는 감정여행 (1/20 따뜻함),대상 : 초등 1~3학년
암사,(겨울방학특강)재능기부프로그램,대상 : 강동구 관내 초등학생
강일,[모집]사서선생님과 함께하는 독서프로그램 12월 북프랜드,대상 : 6~7세
강일,[모집] 리브터치 #협동·공감편  「책읽는 우리가족 상상여행 떠나기」 ,대상 : 관심있는 가족 누구나
성내,그림책으로 떠나는 감정여행 <12/17 두려움>,대상 : 초1~2
성내,그림책으로 떠나는 감정여행 <12/16 행복>,대상 : 7~8세
성내,그림책으로 떠나는 감정여행 <12/14 설레임>,대상 : 초3~4
성내,[성내도서관 연말행사] 정혜윤 작가와의 만남,대상 : 성인 8명
성내,[성내도서관 연말행사] 양다솔 작가와의 만남,대상 : 성인 10명
성내,그림책으로 떠나는 감정여행 <12/9 걱정>,대상 : 초1~2
성내,그림책으로 떠나는 감정여행 <12/7 사랑>,대상 : 초1~2
둔촌,"[연말 독서문화행사] 손끝으로 전해지는 위로, 크리스마스 리스 만들기",대상 : 성인 8명
둔촌,[연말 독서문화행사] 손인형극: 곰돌이의 크리스마스 선물,대상 : 누구나 30명
