년,월,시도,시군구,등록외국인 수
2022,03,경상북도,포항시 북구,2631
2022,03,광주광역시,광산구,11659
2022,03,광주광역시,남구,1348
2022,03,광주광역시,동구,1607
2022,03,광주광역시,북구,4495
2022,03,광주광역시,서구,1631
2022,03,대구광역시,남구,1924
2022,03,대구광역시,달서구,9630
2022,03,대구광역시,달성군,4989
2022,03,대구광역시,동구,1623
2022,03,대구광역시,북구,4754
2022,03,대구광역시,서구,2024
2022,03,대구광역시,수성구,1614
2022,03,대구광역시,중구,732
2022,03,대전광역시,대덕구,2078
2022,03,대전광역시,동구,4295
2022,03,대전광역시,서구,3585
2022,03,대전광역시,유성구,6580
2022,03,대전광역시,중구,1362
2022,03,부산광역시,강서구,4102
2022,03,부산광역시,금정구,3808
2022,03,부산광역시,기장군,1786
2022,03,부산광역시,남구,5047
2022,03,부산광역시,동구,1577
2022,03,부산광역시,동래구,894
2022,03,부산광역시,부산진구,2249
2022,03,부산광역시,북구,1812
2022,03,부산광역시,사상구,4096
2022,03,부산광역시,사하구,3503
2022,03,부산광역시,서구,1788
2022,03,부산광역시,수영구,1285
2022,03,부산광역시,연제구,700
2022,03,부산광역시,영도구,1584
2022,03,부산광역시,중구,1892
2022,03,부산광역시,해운대구,3493
2022,03,서울특별시,강남구,4761
2022,03,서울특별시,강동구,3797
2022,03,서울특별시,강북구,3440
2022,03,서울특별시,강서구,5380
2022,03,서울특별시,관악구,13961
2022,03,서울특별시,광진구,12403
2022,03,서울특별시,구로구,23967
2022,03,서울특별시,금천구,13803
2022,03,서울특별시,노원구,3959
2022,03,서울특별시,도봉구,2002
2022,03,서울특별시,동대문구,14610
2022,03,서울특별시,동작구,8632
2022,03,서울특별시,마포구,10298
2022,03,서울특별시,서대문구,11209
2022,03,서울특별시,서초구,3854
2022,03,서울특별시,성동구,6536
2022,03,서울특별시,성북구,9530
2022,03,서울특별시,송파구,5654
2022,03,서울특별시,양천구,3196
2022,03,서울특별시,영등포구,23501
2022,03,서울특별시,용산구,14349
2022,03,서울특별시,은평구,3754
2022,03,서울특별시,종로구,9409
2022,03,서울특별시,중구,9277
2022,03,서울특별시,중랑구,4557
2022,03,세종특별자치시,세종특별자치시,4894
2022,03,울산광역시,남구,4079
2022,03,울산광역시,동구,3191
2022,03,울산광역시,북구,2131
2022,03,울산광역시,울주군,5822
2022,03,울산광역시,중구,1623
2022,03,인천광역시,강화군,762
2022,03,인천광역시,계양구,3138
2022,03,인천광역시,남동구,10879
2022,03,인천광역시,동구,849
2022,03,인천광역시,미추홀구,9193
2022,03,인천광역시,부평구,13943
2022,03,인천광역시,서구,11312
2022,03,인천광역시,연수구,12541
2022,03,인천광역시,옹진군,191
2022,03,인천광역시,중구,3864
2022,03,전라남도,강진군,417
2022,03,전라남도,고흥군,956
2022,03,전라남도,곡성군,412
2022,03,전라남도,광양시,1481
2022,03,전라남도,구례군,185
2022,03,전라남도,나주시,2657
2022,03,전라남도,담양군,904
2022,03,전라남도,목포시,3023
2022,03,전라남도,무안군,1624
2022,03,전라남도,보성군,399
2022,03,전라남도,순천시,2126
2022,03,전라남도,신안군,750
2022,03,전라남도,여수시,4887
2022,03,전라남도,영광군,880
2022,03,전라남도,영암군,4143
2022,03,전라남도,완도군,2122
2022,03,전라남도,장성군,915
2022,03,전라남도,장흥군,485
2022,03,전라남도,진도군,1340
2022,03,전라남도,함평군,604
2022,03,전라남도,해남군,1284
2022,03,전라남도,화순군,774
2022,03,전라북도,고창군,813
2022,03,전라북도,군산시,5935
2022,03,전라북도,김제시,1733
2022,03,전라북도,남원시,862
2022,03,전라북도,무주군,190
2022,03,전라북도,부안군,779
2022,03,전라북도,순창군,307
2022,03,전라북도,완주군,2974
2022,03,전라북도,익산시,4378
2022,03,전라북도,임실군,261
2022,03,전라북도,장수군,315
2022,03,전라북도,전주시 덕진구,4708
2022,03,전라북도,전주시 완산구,4197
2022,03,전라북도,정읍시,2394
2022,03,전라북도,진안군,315
2022,03,제주특별자치도,서귀포시,6986
