번호,행사명,대상,장소,행사일시,유무료
160,4월 사서쌤과 책읽기(1~3학년) - 4월 2일(토) 대면,어린이,강북청소년문화정보...,2022-04-02,무료
159,[초등1~3학년 대상]어린이 금융교실,어린이,강북청소년문화정보...,2022-04-05,무료
158,3월 사서쌤과 책읽기(4~6학년) - 3월 26일(토) 비대면,어린이,비대면 줌(Zoo...,2022-03-26,무료
157,3월 사서쌤과 책읽기(4~6학년) - 3월 26일(토) 대면,어린이,1층 문화교실,2022-03-26,무료
156,3월 사서쌤과 책읽기(1~3학년) - 3월 12일(토) 대면,어린이,1층 문화교실,2022-03-12,무료
155,3월 사서쌤과 책읽기(1~3학년) - 3월 8일(화) 비대면,어린이,비대면 줌(Zoo...,2022-03-08,무료
154,[비대면] 최세화(거누파파네) 작가의 <지금 당장 유튜브 크리에이터 되기> / 20~30대,성인,비대면(ZOOM),2022-03-12,"20,000 원"
153,[비대면] 조향사 진로 체험_나만의 향수 만들기 / 중고생,청소년,비대면(ZOOM),2022-03-19,무료
152,[대면] 상상공작소 장비활용교육(UV프린터) / 중학생~성인,어린이,3층 상상공작소,2022-03-26,무료
151,[대면] 명화와 함께하는 3D펜 / 초등 1~3학년,어린이,3층 상상공작소,2022-03-17,무료
150,[대면] 명화와 함께하는 3D펜 / 초등 4~6학년,어린이,3층 상상공작소,2022-03-10,무료
149,2월 사서쌤과 책읽기(4~6학년) - 2월 16일(수) 비대면,어린이,비대면 줌(Zoo...,2022-02-16,무료
148,2월 사서쌤과 책읽기(4~6학년) - 2월 12일(토) 대면,어린이,1층 문화교실,2022-02-12,무료
147,2월 사서쌤과 책읽기(1~3학년) - 2월 10일(목) 비대면,어린이,비대면 줌(Zoo...,2022-02-10,무료
146,2월 사서쌤과 책읽기(1~3학년) - 2월 5일(토) 대면,어린이,1층 문화교실,2022-02-05,무료
145,[예비초등] 그림책으로 미리 만나는 학교생활-2월 23일(수),어린이,비대면 줌(Zoo...,2022-02-23,무료
144,[예비초등] 그림책으로 미리 만나는 학교생활-2월 9일(수),어린이,비대면 줌(Zoo...,2022-02-09,무료
143,상상공작소 장비활용교육(3D프린터) / 중학생~성인,어린이,3층 상상공작소,2022-02-19,무료
142,[비대면] 메타버스로 만드는 신재생 에너지 팩토리 / 초등4~6학년,어린이,비대면(ZOOM),2022-02-10,"20,000 원"
141,[비대면] 생활나전칠기_자개 스마트톡 만들기 / 성인,성인,비대면(ZOOM),2022-02-11,무료
140,[비대면] 자가발전 LED 손전등 만들기 / 초등4~6학년,어린이,비대면(ZOOM),2022-01-26,무료
139,실루엣커팅기로 폴라로이드 토퍼 만들기 / 중고생,청소년,3층 상상공작소,2022-01-22,무료
138,[예비초등] 그림책으로 미리 만나는 학교생활-1월 26일(수),어린이,비대면 줌(Zoo...,2022-01-26,무료
137,[예비초등] 그림책으로 미리 만나는 학교생활-1월 12일(수),어린이,비대면 줌(Zoo...,2022-01-12,무료
136,1월 사서쌤과 책읽기(4~6학년) - 1월 29일(토) 비대면,어린이,비대면 줌,2022-01-29,무료
135,1월 사서쌤과 책읽기(4~6학년) - 1월 27일(목) 비대면,어린이,비대면 줌,2022-01-27,무료
134,1월 사서쌤과 책읽기(1~3학년) - 1월 15일(토) 비대면,어린이,비대면 줌,2022-01-15,무료
133,1월 사서쌤과 책읽기(1~3학년) - 1월 13일(목) 비대면,어린이,비대면 줌,2022-01-13,무료
134,2022 여름 독서 교실,어린이,솔샘문화정보도서관,2022-08-10,무료
46,"[송중] ""일제의 쌀  수탈에 맞서 싸운  농민 서태석""(초등 4~6학년)",어린이,ZOOM 비대면 ...,2022-08-28,무료
45,[송중] 우리가 지키는 지구 -환경 사랑 팝업북 만들기-,어린이,송중문화정보도서관...,2022-08-02,무료
44,"[송중] ""이름 264의 비밀을 찾아라!""(초등 4~6학년)",어린이,비대면 ZOOM ...,2022-07-24,무료
43,"[송중] ""독립을 위해 일한 CEO, 유일한""(초등 4~6학년)",어린이,비대면 ZOOM ...,2022-06-26,무료
42,"[송중] ""조선 독립의 때는 왔다! -우리가 기억해야할 5월의 독립영웅""(초등 4~6학년)",어린이,ZOOM 비대면 ...,2022-05-29,무료
41,[송중] 4.19 혁명 기념 역사독서토론 프로그램(중학생),어린이,ZOOM 비대면 ...,2022-04-16,무료
40,[송중] 4.19 혁명 기념 역사독서토론 프로그램(초등 3~6학년),어린이,ZOOM 비대면 ...,2022-04-16,무료
39,"[송중] ""범 내려온다~ 복(福) 내려온다~""(초등 저학년)",어린이,ZOOM 비대면 ...,2022-02-27,무료
38,"[송중] ""Happy New Reading Year""(초등 4~5학년)",어린이,ZOOM 비대면 ...,2022-01-12,무료
37,"[송중] ""Happy New Reading Year""(초등 2~3학년)",어린이,ZOOM 비대면 ...,2022-01-05,무료
212,9월 독서의 달 특강 접수,어린이,수유문화정보도서관...,2022-09-17,무료
211,2022 여름독서교실,어린이,3층 독서교실,2022-08-03,무료
210,"수유문화정보도서관 ""길 위의 인문학"" 비대면 특강프로그램2(추가모집)",청소년,비대면,2022-08-21,무료
209,"수유문화정보도서관 ""길 위의 인문학"" 비대면 특강프로그램1(추가모집)",청소년,비대면,2022-08-20,무료
208,"수유문화정보도서관 ""한 주제로 함께 읽기""",어린이,수유문화정보도서관...,2022-06-18,무료
207,길 위의 인문학 접수(수유),청소년,비대면,2022-08-20,무료
206,그림책으로 배우는 어린이 민주시민교육,어린이,비대면,2022-04-09,무료
205,2022겨울독서교실 [수유문화정보도서관],어린이,비대면(ZOOM),2022-01-04,무료
158,[성인독서토론] 지구가 보내는 경고! 여섯 번째 대멸종 위기 인류세를 아시나요?,성인,Zoom,2022-09-06,무료
157,[초등고 교육] 역사 그것이 알고 싶다,어린이,Zoom,2022-09-17,무료
156,[초등고 공예]와이어로 만드는 캐릭터 책갈피,어린이,미아문화정보도서관...,2022-09-03,무료
155,힐링 플렌테리어 (성인반),성인,미아문화정보도서관...,2022-08-26,무료
154,힐링 플렌테리어 (고학년),어린이,미아문화정보도서관...,2022-08-19,무료
153,미아 문화정보도서관 여름 독서교실 (고학년),어린이,미아문화정보도서관...,2022-08-05,무료
152,미아문화정보도서관 여름독서교실 (저학년),어린이,미아문화정보도서관...,2022-08-04,무료
151,하브루타 독서토론,어린이,미아문화정보도서관...,2022-06-19,무료
150,5월 책 읽어주는 엄마 원포인트 래슨,성인,Zoom,2022-05-04,무료
149,"민주주의를 지켜낸 4․19혁명, 시(詩)로 만나다!",어린이,Zoom,2022-04-09,무료
378,[삼각산] 어린이 전자그림책 만들기 프로그램,어린이,실시간 온라인&a...,2022-09-17,"50,000 원"
377,[삼각산] 아기 거북이 클로버 : 리사이클링 (10월),어린이,삼각산어린이도서관...,2022-10-22,무료
376,[삼각산] 아기 거북이 클로버 : 리사이클링 (9월),어린이,삼각산어린이도서관...,2022-09-17,무료
375,[삼각산] 2022년 여름 독서교실(1~2학년),어린이,삼각산어린이도서관...,2022-08-09,무료
374,[삼각산] 2022년 여름 독서교실(3~4학년),어린이,삼각산어린이도서관...,2022-08-04,무료
373,[삼각산] 2022년 여름 독서교실(5~6학년),어린이,삼각산어린이도서관...,2022-08-01,무료
372,★추가모집★ [삼각산] 미디어교육 평생교실 「미디어 세계시민학교」,어린이,삼각산어린이도서관...,2022-05-06,무료
371,★추가모집★ [삼각산] 메타버스로 만들어 보는 4.19 민주기념관 (비대면),어린이,비대면(zoom),2022-04-09,무료
370,[삼각산] 2022년 함께 읽는 북(BOOK)소리 (03/26 토),어린이,비대면 ZOOM,2022-03-26,무료
369,★[추가모집]★[삼각산] 2022년 함께 읽는 북(BOOK)소리 (03/24 목),어린이,비대면 ZOOM,2022-03-24,무료
368,★[추가모집]★[삼각산] 2022년 함께 읽는 북(BOOK)소리 (03/17 목),어린이,비대면 ZOOM,2022-03-17,무료
367,[삼각산] 2022년 함께 읽는 북(BOOK)소리 (02/24 목),어린이,비대면 ZOOM,2022-02-24,무료
366,[삼각산] 2022년 함께 읽는 북(BOOK)소리 (02/19 토),어린이,비대면 ZOOM,2022-02-19,무료
365,[삼각산] 2022년 함께 읽는 북(BOOK)소리 (02/17 목),어린이,비대면 ZOOM,2022-02-17,무료
364,[삼각산]2022년 겨울 독서교실(초등6학년),어린이,비대면 ZOOM수...,2022-01-07,무료
363,[삼각산]2022년 겨울 독서교실(초등5학년),어린이,비대면 ZOOM수...,2022-01-06,무료
362,[삼각산]2022년 겨울독서교실(초등4학년),어린이,비대면 ZOOM수...,2022-01-05,무료
361,[삼각산]2022년 겨울독서교실(초등3학년),어린이,비대면 ZOOM수...,2022-01-04,무료
360,[삼각산]2022년 겨울독서교실(초등2학년),어린이,비대면 ZOOM수...,2022-01-03,무료
359,[삼각산]2022년 겨울독서교실(초등1학년),어린이,비대면 ZOOM수...,2022-01-05,무료
