title,도서관,장소,신청/정원,교육기간,접수기간,수강료,대상
2021년 조천읍도서관 여름독서교실,조천,온라인 ZOOM 수업,9/9 ,2021-07-28 ~ 2021-08-18,2021-07-15 ~ 2021-07-26,없음,초등학생
(7.25.일) 도서관과 함께하는 북(BOOK) 나들이 사업 참가자 모집..,서귀포기적,,2/5  (대기 : 2) ,2021-07-25 ~ 2021-07-25,2021-07-14 ~ 2021-07-21,0,도민
(7.24.토)도서관과 함께하는 북(BOOK)나들이 사업 참가자 모집..,서귀포기적,,2/5  (대기 : 2) ,2021-07-24 ~ 2021-07-24,2021-07-14 ~ 2021-07-21,0,도민
안덕산방도서관 2021 독서아카데미 2차(문학평론가 김동현의 이야기로 읽는..,안덕산방,온라인 화상 플랫폼(ZOOM),26/30  (대기 : 10) ,2021-07-29 ~ 2021-08-19,2021-07-14 ~ 2021-08-01,무료,성인(도민)
2021년 애월도서관 여름독서교실(초3~4학년),애월,온라인(ZOOM) 비대면 운영,16/14  (대기 : 2) ,2021-07-26 ~ 2021-07-29,2021-07-13 ~ 2021-07-25,무료,초등학생
서부도서관 여름독서교실,서부,서부도서관 문화창작실,15/10  (대기 : 5) ,2021-07-27 ~ 2021-07-30,2021-07-13 ~ 2021-07-25,0,초등학생
「페인트」 이희영 작가 온라인 북토크 참가자 모집,삼매봉,온라인 비대면(ZOOM),55/100 ,2021-07-30 ~ 2021-07-30,2021-07-12 ~ 2021-07-30,무료,도민
<서양 고전문학에서 배우는 지혜> 도서관 지혜학교 참여자 모집..,탐라,온라인(ZOOM),25/20  (대기 : 5) ,2021-07-29 ~ 2021-10-14,2021-07-12 ~ 2021-07-22,없음,성인(도민)
<실패를 사랑하는 직업> 요조 작가 북토크,탐라,온라인(ZOOM),31/30 ,2021-07-24 ~ 2021-07-24,2021-07-12 ~ 2021-07-20,없음,도민
"<바다, 우리가 사는 곳> 핫핑크돌핀스 북토크 안내",탐라,,22/50 ,2021-07-24 ~ 2021-07-24,2021-07-12 ~ 2021-07-22,,도민
김현 시인과 함께 읽는 책 <짐을 끄는 짐승들> 강연 ,탐라,온라인(ZOOM),44/50 ,2021-07-31 ~ 2021-07-31,2021-07-10 ~ 2021-07-25,없음,도민
