강좌명,대상,기간
[서울북스타트 부모교육2] 인공지능 시대를 맞이한 새로운 그림책 교육과 이해 ,성인,2021.10.21(목)~2021.10.21(목)
문화의 달 특강 <법의학자 유성호 교수: 법의학자의 관점에서 본 삶과 죽음> ,전연령,2021.10.20(수)~2021.10.20(수)
낭만살롱; 클래식이 알고 싶다(ZOOM 온라인 강의),전연령,2021.10.25(월)~2021.10.25(월)
미술 경험치를 쌓는 중입니다(ZOOM 온라인 강의),전연령,2021.10.18(월)~2021.10.18(월)
'한강 문학 살롱' 김원영 변호사와의 만남,전연령,2021.10.27(수)~2021.10.27(수)
 문화의 달 특강 <심리학자 허지원 교수: 우린 아직 코로나를 모른다>,전연령,2021.10.13(수)~2021.10.13(수)
문화가 있는 수요일: 웹툰 창작 체험 10월,전연령,2021.10.27(수)~2021.10.27(수)
팹 라이브러리에서 놀자!(페이퍼&레이저커팅기 편),전연령,2021.10.15(금)~2021.10.29(금)
팹라이브러리 10월 < 3D펜  Do It Together! > 매마수 체험 프로그램,전연령,2021.10.27(수)~2021.10.27(수)
2021 한 도서관 한 책 읽기 - 동화책으로 다양성 읽기 <세상의 많고 다른 가족> (ZOOM 온라인 강의),어린이,2021.10.16(토)~2021.10.16(토)
[2021년 4분기 초등 5~6학년 프로그램] 생각을 만드는 글쓰기[중곡],어린이,2021.10.21(목)~2021.12.09(목)
[메이커-작업] 성인창작 < 증강현실(ar) 동화책 만들기 >,전연령,2021.10.17(일)~2021.12.19(일)
팹 라이브러리 장비사용교육(10/30),전연령,2021.10.30(토)~2021.10.30(토)
팹 라이브러리 장비사용교육(10/16),전연령,2021.10.16(토)~2021.10.16(토)
[메이커-교육 / 신나지 토요스쿨] 3D공작소:  3D 모델링 창의교육,어린이,2021.10.02(토)~2021.12.11(토)
[부모교육 아카데미 1 - 도서관에서 박물관 읽기] 참여자 모집,성인,2021.10.07(목)~2021.10.28(목)
"[반려식물 키우기 프로그램-식물, 당신의 친구가 되다] 신청자 모집안내",성인,2021.09.29(수)~2021.10.22(금)
'만복이네 떡집' 김리리 작가와의 만남(2021 광진정보도서관 독서의 달 행사) ,어린이,2021.09.26(일)~2021.09.26(일)
'한강 문학 살롱' 신형철 평론가와의 만남(ZOOM 온라인),전연령,2021.09.24(금)~2021.09.24(금)
2021 한 도서관 한 책 읽기 - 가족은 나의 힘: <우리는 보통 가족입니다> 김응 작가와의 만남 (ZOOM 온라인 강의),어린이,2021.09.25(토)~2021.09.25(토)
"[자양]자양도서관 독서의 달 그림책 특강 <그림책, 영화> ",성인,2021.09.27(월)~2021.09.27(월)
" <팹 라이브러리에서 놀자!_3D프린터 & 진공성형기 편(9/10, 9/17, 9/24)>",전연령,2021.09.10(금)~2021.09.24(금)
팹라이브러리 9월 <3D펜 Do It Together!> 체험 프로그램,전연령,2021.09.29(수)~2021.09.29(수)
[메이커-작업] [추가모집 마감] 성인창작(3D모델링으로 피규어 만들기/Fusion360) 팹라이브러리 프로그램 참가자 모집,전연령,2021.08.22(일)~2021.10.24(일)
자양한강도서관 독서의 달 특강 <마음과 생각을 키우는 놀이독서법> ,전연령,2021.09.10(금)~2021.09.17(금)
"독서의 달 특강: 고미숙 <글쓰기, 그 통쾌함에 대하여>(ZOOM 온라인)",전연령,2021.09.08(수)~2021.09.08(수)
팹 라이브러리 장비사용교육(9/25),전연령,2021.09.25(토)~2021.09.25(토)
팹 라이브러리 장비사용교육(9/11),전연령,2021.09.11(토)~2021.09.11(토)
문화가 있는 수요일: 웹툰 창작 체험 9월,전연령,2021.09.29(수)~2021.09.29(수)
[중곡]9월 독서의 달 특별 프로그램 한복희 작가님와의 만남 [가정에서 하는 내 아이의 독서 교육],성인,2021.09.29(수)~2021.09.29(수)
[중곡 온라인]  김경희 그림책 작가와 함께하는 [온라인 쏙! 도서관 놀이터],어린이,2021.09.15(수)~2021.09.15(수)
[중곡]교양인을 위한 인문학 콘서트 [밥상 위의 인문학],성인,2021.09.07(화)~2021.09.28(화)
[메이커-교육] 그림책과 함께하는 유쾌한 코딩(온라인),어린이,2021.09.25(토)~2021.12.04(토)
동화 속 이야기 주머니(2021년 3분기 자양제4동도서관 교육문화프로그램),어린이,2021.08.23(월)~2021.09.13(월)
[메이커-교육] 웹툰창작 중급반 참가자 모집,어린이,2021.09.12(일)~2021.11.28(일)
2021년 하반기 광진정보도서관 청소년독서회(중학교 2~3학년),청소년,2021.09.05(일)~2021.12.19(일)
