행사명,대상,행사일시
[어린이책마을]뚝딱뚝딱 다이어리 꾸미기 ,초등 4-6,2021.03.18 ~ 2021.03.18
[어린이책마을]동화동무씨동무 ,초등 5-6학년,2021.03.13 ~ 2021.05.29
학교 적응부터 온라인수업까지_예비초 학부모교육,성인,2021.02.17 ~ 2021.02.17
아동학대예방교육_우리가 바꿀게!,성인,2021.02.03 ~ 2021.02.03
어린이책마을_다시쓰는 혹부리영감_혹부리 환불소동,누구나,2021.01.30 ~ 2021.01.30
1.17(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.17 ~ 2021.01.17
1.17(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.16 ~ 2021.01.16
1.16(토) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.15 ~ 2021.01.15
1.15(금) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.13 ~ 2021.01.13
1.13(수) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.12 ~ 2021.01.12
1.12(화) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.12 ~ 2021.01.12
1.10(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.10 ~ 2021.01.10
1.10(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.09 ~ 2021.01.09
1.9(토) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.08 ~ 2021.01.08
1.8(금) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스 ,누구나,2021.01.07 ~ 2021.01.07
1.7(목) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.07 ~ 2021.01.07
1.6(수) 2차수령(15-18시) 안심도서대출서비스 ,누구나,2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.05 ~ 2021.01.05
1.5(화) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,누구나,2021.01.03 ~ 2021.01.03
1.3(일) 2차수령(15-18시) 안심도서대출서비스,누구나,2021.01.03 ~ 2021.01.03
부모에게도 교육이 필요한 시대!_[4강] 아이를 변화시키는 부모의 말!,성인,2022.09.28 ~ 2022.09.28
"부모에게도 교육이 필요한 시대!_[3강] 부모와 자녀의 행복한 소통, 가정에서 기르는 문해력",성인,2022.09.14 ~ 2022.09.14
부모에게도 교육이 필요한 시대!_[2강] 부모와 아이 중 한 사람은 어른이어야 한다.,성인,2022.09.07 ~ 2022.09.07
부모에게도 교육이 필요한 시대!_[1강] 아이의 뇌에 어떤 스토리를 심을 것인가?,성인,2022.08.31 ~ 2022.08.31
아빠와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.28 ~ 2022.08.28
엄마와 함께 하는 리듬톡톡 북놀이터,성인,2022.08.24 ~ 2022.08.24
[여름방학특별]경제야 놀자!,초등 3~6학년,2022.08.10 ~ 2022.08.17
이야기가 있는 코딩,초등 4~6학년,2022.08.02 ~ 2022.08.23
[여름방학특별]책읽GO 표현하GO,초등,2022.08.02 ~ 2022.08.30
