,LBRRY_CD,LBRRY_NM,LBRRY_ADDR,LBRRY_LA,LBRRY_LO,ONE_AREA_NM,TWO_AREA_NM,LBRRY_TY_CD,LBRRY_TY_NM,REPRSNT_YN
1193,31000,무주형설지공군립도서관,전라북도 무주군 무주읍 한풍루로 326-17,36.0020347,127.6625918,전라북도,무주군,1,공공,Y
1194,31200,남해화전도서관,경상남도 남해군 남해읍 망운로 30번길 9,34.8388957,127.8907146,경상남도,남해군,1,공공,Y
1195,30500,평창군립대화도서관,강원도 평창군 대화면 남산2길 27,37.5014012,128.4576694,강원도,평창군,1,공공,Y
1199,30300,과천시정보과학도서관,경기도 과천시 중앙로24,37.4187291,126.9897092,경기도,과천시,1,공공,Y
1200,31600,다산성곽도서관,서울특별시 중구 동호로17길 173,37.5516036,127.0041767,서울특별시,중구,1,공공,Y
1201,31100,경상남도교육청 거창도서관,경상남도 거창군 거창읍 하동1길 9,35.6871543,127.9115485,경상남도,거창군,1,공공,Y
1221,30200,광주학생독립운동기념회관,광주광역시 서구 학생독립로 30,35.1416737,126.8659601,광주광역시,서구,1,공공,Y
1227,30600,공주기적의도서관,충청남도 공주시 무령로 550-53,36.45934,127.1266693,충청남도,공주시,1,공공,Y
1235,30000,양천중앙도서관,서울특별시 양천구 신정로7길 81,37.513525,126.833437,서울특별시,양천구,1,공공,Y
1266,31400,남동논현도서관,인천광역시 남동구 청능대로611번길 15,37.402323,126.7263206,인천광역시,남동구,1,공공,Y
1269,29500,경상북도교육청정보센터,경상북도 경산시 원효로 60,35.822663,128.7441109,경상북도,경산시,1,공공,Y
1298,31500,세종시립도서관,세종특별자치시 세종로 1207,36.5105059,127.240567,세종특별자치시,고운동,1,공공,Y
1319,32100,울산중부도서관,"울산광역시 중구 시계탑거리 38, 2~3층",35.5536379,129.3214899,울산광역시,중구,1,공공,Y
1320,31700,경기중앙교육도서관,경기도 수원시 장안구 조원로 18,37.2979705,127.0232861,경기도,수원시 장안구,1,공공,Y
1331,32300,해밀도서관,경기도 부천시 옥산로10번길 4,37.4944602,126.7804681,경기도,부천시,1,공공,Y
1332,32400,하남시 미사도서관,경기도 하남시 아리수로 545,37.5603879,127.1498654,경기도,하남시,1,공공,Y
1339,32500,논산열린도서관,충청남도 논산시 관촉로 113-23,36.1960813,127.108748,충청남도,논산시,1,공공,Y
1342,32600,장항공공도서관,충청남도 서천군 장항읍 장마로74번길 8,36.0147499,126.6924206,충청남도,논산시,1,공공,Y
1343,32700,천안아산상생협력센터도서관,충청남도 천안시 서북구 공원로 109,36.8001686,127.1064013,충청남도,천안시 서북구,1,공공,Y
1344,32800,태안군립중앙도서관,충청남도 태안군 태안읍 백화로 184,36.7576158,126.3021603,충청남도,태안군,1,공공,Y
1345,33000,맹동혁신도서관,충청북도 음성군 맹동면 사예2길 37,36.9301367,127.562718,충청남도,음성군,1,공공,Y
1349,33300,신안군립도서관,전라남도 신안군 압해읍 압해로 825,34.8626257,126.3177994,전라남도,신안군,1,공공,Y
1350,32200,남목도서관,울산광역시 동구 남목12길 10,35.5455715,129.4277546,울산광역시,동구,1,공공,Y
1355,33200,목포시립도서관,전라남도 목포시 용당로160번길 32,34.8035055,126.4029774,전라남도,목포시,1,공공,Y
1358,33700,함안군립도서관,경상남도 함안군 칠원읍 원서로 56,35.30493,128.5154692,경상남도,함안군,1,공공,Y
1359,33500,김제시립도서관,전라북도 김제시 서낭당길 151,35.7990764,126.8925556,전라북도,김제시,1,공공,Y
1369,32900,광천공공도서관,충청남도 홍성군 광천읍 광천로 342,36.4959512,126.6199846,충청남도,홍성군,1,공공,Y
1370,33100,고흥군립중앙도서관,전라남도 고흥군 고흥읍 고흥로 1793,34.609695,127.2889664,전라남도,고흥군,1,공공,Y
1373,33400,전주교육문화회관,전라북도 전주시 덕진구 안덕원로 71,35.8291331,127.1378158,전라북도,전주시 덕진구,1,공공,Y
